Form,LEFT_HIP_x,LEFT_HIP_y,RIGHT_HIP_x,RIGHT_HIP_y,LEFT_KNEE_x,LEFT_KNEE_y,RIGHT_KNEE_x,RIGHT_KNEE_y,LEFT_ANKLE_x,LEFT_ANKLE_y,RIGHT_ANKLE_x,RIGHT_ANKLE_y
correct,2.677696542485089,2.4387413857543536,1.9826507095783905,2.42789894986568,2.7630976217929426,3.248440572604612,1.643369363497738,3.2250245556013426,2.7929837430820683,3.9288121959360054,1.3805328339928682,3.908532638751328
correct,2.6467475610417845,2.4142578773464223,1.9611073234517775,2.404828968806695,2.7387407812741342,3.2116527122973313,1.6236099018933394,3.1877472178950956,2.7639420684275313,3.8763191193754376,1.3706785498750653,3.860394579206341
correct,2.6299118188579547,2.4040134231742925,1.9501023650925828,2.3950806630275197,2.7297771771215635,3.203156745565687,1.6148060172783683,3.1723428967462235,2.7534550915144447,3.852788168904096,1.3661895214173074,3.8419882189566668
correct,2.6254462850195597,2.4050836603733163,1.946861561990771,2.3960395240488244,2.7311393898186807,3.204248792925609,1.6207688936673206,3.1667269229808155,2.7551274437133184,3.849292345469462,1.3669178301229756,3.8415373224555758
correct,2.5894098362543185,2.3759955952448015,1.9201460583735963,2.366993040889422,2.6964452285960143,3.16551567242073,1.600497603971977,3.128330656955302,2.721104617651811,3.8009849025195757,1.3487386211363344,3.7997297221652127
correct,2.5580597326611083,2.3632606182991824,1.89795469343475,2.3535629133924867,2.6795012372402813,3.1473954515436176,1.5901612132247012,3.111566132474487,2.70024383534002,3.778508467754826,1.3382015098412265,3.7840573375408044
correct,2.5450340320612987,2.39185903799574,1.8895727032890957,2.3817330543528894,2.690546817187038,3.185580330293815,1.601064126764367,3.1527801155007302,2.7283975173309742,3.8278264441438883,1.3522324611824628,3.834490530293874
correct,2.4992366400821324,2.3798466598928276,1.8494140222788702,2.3692670872009947,2.652699472454135,3.168114559099857,1.57704018631849,3.1374814974278262,2.708235611559303,3.808220794427161,1.3446499776160838,3.8145508560102392
correct,2.4802450403946614,2.392219740069054,1.8300732088172784,2.3816272113050143,2.6407329335588465,3.184606295009671,1.5600745492240946,3.1542871138559803,2.7144658103111,3.827988334009085,1.3503930888289901,3.834479447556241
correct,2.458947727145597,2.396221133637102,1.804749646833666,2.385553472573813,2.6275623534680372,3.1910198665153175,1.5383188467919764,3.1593909112767626,2.7136026450309045,3.8343775344364817,1.3522955253528586,3.841914610872351
