Form,LEFT_HIP_x,LEFT_HIP_y,RIGHT_HIP_x,RIGHT_HIP_y,LEFT_KNEE_x,LEFT_KNEE_y,RIGHT_KNEE_x,RIGHT_KNEE_y,LEFT_ANKLE_x,LEFT_ANKLE_y,RIGHT_ANKLE_x,RIGHT_ANKLE_y
icomplete,2.587324797519337,2.1548682846347536,1.9549858194732697,2.156355564649335,2.6322962981542304,2.839640031534823,1.9252053213411184,2.8511618146316153,2.714279843922427,3.390204026497418,1.8845656869029668,3.3743164411148667
icomplete,2.5922415356824358,2.1595883654032364,1.958388518831807,2.1611091768750814,2.6328208339049346,2.846271439939742,1.9260958187078674,2.8574804194487538,2.7202020208465947,3.4014586417746426,1.8872441457943083,3.382747084132729
icomplete,2.5942554071734496,2.1622891143537957,1.9591310805530773,2.163670560306918,2.6326028027009256,2.8505194219696937,1.9235079736517193,2.8622043591264745,2.7237889893779035,3.4080097948771635,1.8882503570918514,3.3889858226927765
icomplete,2.592955434242961,2.1580828556071117,1.9576097397081418,2.1598503395372255,2.63010374550962,2.8473816035441954,1.922859467501063,2.8559389602389023,2.7160119546106416,3.405068541812759,1.8876653947438466,3.389985111810902
icomplete,2.5861128228501538,2.1490700240338896,1.9548157374830375,2.1479888802234233,2.6236444309089766,2.8484012355164112,1.9169973600976058,2.8468500051907535,2.7148853544349842,3.402370882304947,1.8871624531717528,3.389276048609767
icomplete,2.5910803645307654,2.1523640823010295,1.9594635916954128,2.151929066900219,2.6298508181986597,2.8550087035920577,1.919937082644107,2.8552441236913197,2.7183649025700873,3.408443457364195,1.884902920234301,3.4015158543962514
icomplete,2.636416819083789,2.1910967750281842,1.9940405321099934,2.1909330394651074,2.672349383848897,2.9060885875349465,1.9543983642911373,2.9063082156333127,2.7541267799775486,3.470945025381813,1.9133988666669306,3.466595825885195
icomplete,2.6519887703252625,2.2108561059028737,2.0043283283172797,2.211035921665437,2.6921919387495215,2.931943448142783,1.970666135799476,2.932969789928157,2.773571780524273,3.4990423095198753,1.9268863949288417,3.498993733697761
icomplete,2.6464797917190888,2.2103711533335955,1.9963559131562116,2.2106910972341116,2.6827145730054167,2.931758281163369,1.9650784186795258,2.9331739194678708,2.7693178275663133,3.4972925946349567,1.9208144069536413,3.4949701649741156
icomplete,2.6470194341048128,2.2143293639856436,1.9975536660395534,2.2144995269599295,2.678844739629369,2.9369399280142012,1.965899801842178,2.9398565611644343,2.7708301846420254,3.5025889260677734,1.9218578458540783,3.5007679833880236
icomplete,2.644858707328145,2.217575676136193,1.9973666434558113,2.2170358003542163,2.6764720814036305,2.940204742242465,1.9663638110205173,2.9430242673297946,2.7691640752882116,3.50500097419389,1.9208066554894474,3.504845423994922
